trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",35,0,-142.89337711636745,"{0: 26, 1: 3, 2: 2, 3: 1, 4: 3}",0
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",25,0,-16.716312905220484,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.99, 'e': 0.6426116020847181}",25,0,-89.52022553134009,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.99, 'e': 0.6361854860638709}",30,22,1.5642739507607297,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.99, 'e': 0.6298236312032323}",25,0,-43.825807639091465,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.99, 'e': 0.6235253948912}",25,5,-0.7946836823719146,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.99, 'e': 0.617290140942288}",20,0,-33.49102089158516,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.99, 'e': 0.611117239532865}",20,0,-90.28309672910035,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.99, 'e': 0.6050060671375364}",30,4,-58.919265154793905,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 1}",1
51,False,"{'a': 0.99, 'e': 0.598956006466161}",30,0,-105.53836243439505,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.99, 'e': 0.5929664464014994}",25,8,-81.43476226205823,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
53,False,"{'a': 0.99, 'e': 0.5870367819374844}",25,8,-1.0866671793272125,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.99, 'e': 0.5811664141181095}",20,0,-74.98711321031814,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
55,False,"{'a': 0.99, 'e': 0.5753547499769285}",35,0,-133.6976875671887,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
56,False,"{'a': 0.99, 'e': 0.5696012024771592}",25,0,-92.5802862493063,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.99, 'e': 0.5639051904523875}",30,15,-72.20062594021498,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
58,False,"{'a': 0.99, 'e': 0.5582661385478637}",35,0,-91.85623006434852,"{0: 26, 1: 1, 2: 6, 3: 1, 4: 1}",1
59,False,"{'a': 0.99, 'e': 0.5526834771623851}",20,13,-1.3931386982134986,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.99, 'e': 0.5471566423907612}",25,0,-103.46644853159991,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.99, 'e': 0.5416850759668536}",20,0,1.8249873662769236,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.99, 'e': 0.536268225207185}",25,12,-33.24291747357671,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.99, 'e': 0.5309055429551132}",20,0,-5.0370732647017284,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.99, 'e': 0.525596487525562}",20,2,-39.07578772501694,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,0,-35.83801459223682,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.99, 'e': 0.5151371174238033}",25,0,-39.28312000566555,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.99, 'e': 0.5099857462495653}",25,15,-32.97839568088224,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.99, 'e': 0.5048858887870696}",25,11,-8.627286311366877,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.99, 'e': 0.4998370298991989}",20,0,-98.33817808858274,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.99, 'e': 0.49483865960020695}",20,14,7.753022937863659,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.99, 'e': 0.4898902730042049}",20,0,-14.714785286857412,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
72,False,"{'a': 0.99, 'e': 0.48499137027416284}",30,0,-52.28380690421277,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.99, 'e': 0.4801414565714212}",30,0,9.021097697639046,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.99, 'e': 0.47534004200570695}",25,0,13.979833244126212,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.99, 'e': 0.4705866415856499}",25,0,-41.54459745315151,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
76,False,"{'a': 0.99, 'e': 0.46588077516979337}",20,0,-22.29684749051008,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
77,False,"{'a': 0.99, 'e': 0.46122196741809546}",25,16,9.045706932749631,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.99, 'e': 0.4566097477439145}",20,0,-47.788254290655054,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.99, 'e': 0.45204365026647536}",20,0,-31.628841103725733,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
80,False,"{'a': 0.99, 'e': 0.4475232137638106}",25,0,-53.670969735919584,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.99, 'e': 0.4430479816261725}",20,2,-10.521399826280094,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
82,False,"{'a': 0.99, 'e': 0.43861750180991077}",30,0,-52.96128122525256,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.99, 'e': 0.43423132679181164}",25,18,7.320003654642493,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.99, 'e': 0.4298890135238935}",25,7,12.849898822983388,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.99, 'e': 0.4255901233886546}",20,0,-53.53040381236799,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.99, 'e': 0.421334222154768}",20,0,12.374503858004696,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.99, 'e': 0.41712087993322033}",20,0,-20.34522228410763,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.99, 'e': 0.41294967113388814}",30,19,-47.463253439740384,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.99, 'e': 0.40882017442254925}",30,0,-7.137922115413646,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.99, 'e': 0.4047319726783238}",25,10,24.27416301875515,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.99, 'e': 0.40068465295154054}",20,0,-0.3433337185183749,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.99, 'e': 0.3966778064220251}",20,2,10.400609288861638,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.99, 'e': 0.39271102835780486}",20,0,-28.811419661862757,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.99, 'e': 0.3887839180742268}",20,11,6.416918329606677,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.99, 'e': 0.38489607889348454}",20,0,-2.426398599388544,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.99, 'e': 0.38104711810454966}",25,17,-9.779031948279497,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.99, 'e': 0.37723664692350417}",25,11,-53.633966455672,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
98,False,"{'a': 0.99, 'e': 0.37346428045426916}",30,16,-27.247251365220848,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
99,False,"{'a': 0.99, 'e': 0.36972963764972644}",20,9,5.938185999542233,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.99, 'e': 0.3660323412732292}",20,0,-66.11872669918289,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
101,False,"{'a': 0.99, 'e': 0.3623720178604969}",30,0,-52.013034809698674,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.99, 'e': 0.3587482976818919}",25,5,-125.5113886979952,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",1
103,False,"{'a': 0.99, 'e': 0.355160814705073}",25,12,11.735069815715656,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.99, 'e': 0.35160920655802225}",30,0,-60.603484259934554,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
105,False,"{'a': 0.99, 'e': 0.348093114492442}",25,0,-6.942796826173039,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.99, 'e': 0.3446121833475176}",30,4,12.212862563366556,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.99, 'e': 0.34116606151404244}",20,11,11.868647610069992,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.99, 'e': 0.337754400898902}",20,10,18.094764786532068,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.99, 'e': 0.334376856889913}",25,12,-20.69054239777094,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.99, 'e': 0.33103308832101386}",20,5,13.256417802953074,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.99, 'e': 0.3277227574378037}",30,0,-146.8196718324576,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
112,False,"{'a': 0.99, 'e': 0.3244455298634257}",20,0,-28.366673128126763,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
113,False,"{'a': 0.99, 'e': 0.3212010745647914}",20,13,-9.906509703547936,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.99, 'e': 0.3179890638191435}",25,0,-45.60180922205385,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
115,False,"{'a': 0.99, 'e': 0.31480917318095203}",20,5,-90.66799853115207,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
116,False,"{'a': 0.99, 'e': 0.3116610814491425}",30,5,-157.0910105289892,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",1
117,False,"{'a': 0.99, 'e': 0.30854447063465107}",35,5,-79.55640217712147,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",1
118,False,"{'a': 0.99, 'e': 0.3054590259283046}",20,0,2.8005696646443092,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.99, 'e': 0.30240443566902153}",25,17,4.698072218243436,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.99, 'e': 0.2993803913123313}",20,0,-36.49528270411697,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.99, 'e': 0.296386587399208}",30,5,-18.461733946694945,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.99, 'e': 0.2934227215252159}",30,0,-48.96900330916556,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
123,False,"{'a': 0.99, 'e': 0.29048849430996376}",20,0,1.458791358894068,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.99, 'e': 0.2875836093668641}",20,3,-14.720062435418937,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
