trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.99, 'e': 0.15735328210778962}",20,2,-8.719478006910268,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.99, 'e': 0.15577974928671173}",20,7,24.950688939074112,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.99, 'e': 0.1542219517938446}",25,13,22.471644846022393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.99, 'e': 0.15267973227590617}",25,15,16.827812610909916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.99, 'e': 0.1511529349531471}",20,10,-27.26715839974536,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
189,False,"{'a': 0.99, 'e': 0.14964140560361563}",25,0,-10.162644250057046,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
190,False,"{'a': 0.99, 'e': 0.14814499154757946}",30,16,25.612867282653376,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.99, 'e': 0.14666354163210368}",20,0,-19.571074354260805,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
192,False,"{'a': 0.99, 'e': 0.14519690621578263}",20,16,8.435988115677828,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.99, 'e': 0.1437449371536248}",30,14,-16.37750704176093,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
194,False,"{'a': 0.99, 'e': 0.14230748778208857}",35,17,34.24048801248273,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.99, 'e': 0.14088441290426768}",25,16,16.690844419411548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.99, 'e': 0.139475568775225}",25,10,15.749409180153176,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.99, 'e': 0.13808081308747275}",30,13,18.453046893576985,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.99, 'e': 0.136700004956598}",30,21,21.055359669350725,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.99, 'e': 0.13533300490703204}",20,8,25.48875199993475,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.99, 'e': 0.13397967485796172}",20,10,-44.5160680725506,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
201,False,"{'a': 0.99, 'e': 0.1326398781093821}",20,2,17.18648286540616,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.99, 'e': 0.13131347932828827}",20,9,18.554677334853665,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.99, 'e': 0.1300003445350054}",25,14,19.52193908201536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.99, 'e': 0.12870034108965533}",25,18,12.624491214473043,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.99, 'e': 0.1274133376787588}",20,16,5.8991280047061565,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.99, 'e': 0.12613920430197118}",25,0,-15.122220046821514,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
207,False,"{'a': 0.99, 'e': 0.12487781225895148}",25,0,-13.061297025732316,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
208,False,"{'a': 0.99, 'e': 0.12362903413636196}",30,0,32.863008499890235,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
209,False,"{'a': 0.99, 'e': 0.12239274379499834}",25,6,16.729018857454086,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.99, 'e': 0.12116881635704835}",35,20,16.359393582411922,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.99, 'e': 0.11995712819347787}",20,3,-28.10774314357761,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
212,False,"{'a': 0.99, 'e': 0.11875755691154309}",20,10,15.343358230156582,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.99, 'e': 0.11756998134242766}",20,2,21.854110649710535,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.99, 'e': 0.11639428152900338}",25,8,18.06944228514664,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.99, 'e': 0.11523033871371334}",25,2,22.847903675068803,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.99, 'e': 0.1140780353265762}",20,3,16.53343132509128,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.99, 'e': 0.11293725497331045}",20,5,6.484410906018266,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.99, 'e': 0.11180788242357734}",20,4,27.243056098274018,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.99, 'e': 0.11068980359934157}",20,2,-33.21518331417583,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
220,False,"{'a': 0.99, 'e': 0.10958290556334815}",25,15,14.4314056489457,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.99, 'e': 0.10848707650771466}",20,16,7.758768364930503,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.99, 'e': 0.10740220574263752}",25,0,34.71055679941165,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.99, 'e': 0.10632818368521114}",35,12,38.27958171728702,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.99, 'e': 0.10526490184835903}",35,1,-8.169008962914477,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 1}",1
225,False,"{'a': 0.99, 'e': 0.10421225282987544}",20,12,15.80667148689475,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.99, 'e': 0.10317013030157669}",25,14,18.898028476246786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.99, 'e': 0.10213842899856092}",25,15,13.495018170748608,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.99, 'e': 0.10111704470857531}",20,16,6.572791267360358,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.99, 'e': 0.10010587426148955}",20,16,10.330467071237317,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.99, 'e': 0.09910481551887466}",25,13,20.612890042939128,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.99, 'e': 0.0981137673636859}",20,9,0.14009739216629336,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.99, 'e': 0.09713262969004904}",20,5,-20.021285004740932,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
233,False,"{'a': 0.99, 'e': 0.09616130339314856}",25,10,10.924201050788216,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
234,False,"{'a': 0.99, 'e': 0.09519969035921708}",20,9,18.76156244977777,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.99, 'e': 0.0942476934556249}",20,11,17.331781994645986,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.99, 'e': 0.09330521652106866}",20,15,-4.837447011348516,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.99, 'e': 0.09237216435585796}",30,13,13.168765273289965,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.99, 'e': 0.09144844271229938}",20,10,8.597309114366924,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.99, 'e': 0.0905339582851764}",20,7,15.52979162471646,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.99, 'e': 0.08962861870232462}",20,13,14.012964482670988,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.99, 'e': 0.08873233251530138}",20,12,13.57766302592817,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.99, 'e': 0.08784500919014836}",20,5,13.832015431213993,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.99, 'e': 0.08696655909824688}",20,0,16.72492165840972,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
244,False,"{'a': 0.99, 'e': 0.0860968935072644}",30,8,35.35724883403166,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.99, 'e': 0.08523592457219176}",20,11,13.64291213651947,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.99, 'e': 0.08438356532646984}",30,20,15.014590147571269,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.99, 'e': 0.08353972967320515}",25,15,18.145440307572866,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.99, 'e': 0.0827043323764731}",20,10,16.749687205654237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.99, 'e': 0.08187728905270836}",20,8,17.662847741472167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.99, 'e': 0.08105851616218128}",25,9,-16.891483070780545,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
251,False,"{'a': 0.99, 'e': 0.08024793100055946}",20,8,10.925525073739024,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.99, 'e': 0.07944545169055386}",20,8,21.144864538533792,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.99, 'e': 0.07865099717364833}",25,7,30.159106376458467,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.99, 'e': 0.07786448720191184}",20,0,28.31554095916085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
255,False,"{'a': 0.99, 'e': 0.07708584232989273}",35,16,29.245522413394813,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.99, 'e': 0.0763149839065938}",25,19,5.0693592227444295,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.99, 'e': 0.07555183406752786}",25,15,-3.405903356637993,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
258,False,"{'a': 0.99, 'e': 0.07479631572685258}",35,18,0.42988131609003744,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
259,False,"{'a': 0.99, 'e': 0.07404835256958406}",25,16,12.429135438990937,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.99, 'e': 0.07330786904388821}",20,1,-19.41380938330665,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
261,False,"{'a': 0.99, 'e': 0.07257479035344933}",20,11,-5.9295351664791,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
262,False,"{'a': 0.99, 'e': 0.07184904244991483}",25,19,10.772503785244458,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.99, 'e': 0.07113055202541568}",25,11,21.13199358805913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.99, 'e': 0.07041924650516153}",20,3,24.639527610164244,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.99, 'e': 0.06971505404010991}",25,10,26.153461255566747,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.99, 'e': 0.06901790349970881}",30,24,6.547064898359878,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.99, 'e': 0.06832772446471172}",30,13,9.534430244676994,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
268,False,"{'a': 0.99, 'e': 0.0676444472200646}",20,7,17.464452255116143,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.99, 'e': 0.06696800274786396}",20,0,26.99899021279916,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
270,False,"{'a': 0.99, 'e': 0.06629832272038531}",20,0,30.02931443044092,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
271,False,"{'a': 0.99, 'e': 0.06563533949318147}",20,8,22.059762149893423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.99, 'e': 0.06497898609824965}",25,13,15.939907026625646,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.99, 'e': 0.06432919623726716}",20,0,17.77166779607346,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
274,False,"{'a': 0.99, 'e': 0.06368590427489448}",30,6,-9.428842881974415,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
275,False,"{'a': 0.99, 'e': 0.06304904523214554}",20,1,18.77548388321938,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.99, 'e': 0.06241855477982408}",20,12,14.568091063829042,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.99, 'e': 0.06179436923202584}",25,14,21.390964791505002,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.99, 'e': 0.06117642553970558}",30,18,21.429734117206262,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.99, 'e': 0.06056466128430853}",20,5,23.08071831440154,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.99, 'e': 0.05995901467146544}",30,13,-23.211238016849123,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
281,False,"{'a': 0.99, 'e': 0.059359424524750785}",25,17,17.328825812841526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.99, 'e': 0.05876583027950327}",20,7,27.270513280454935,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.99, 'e': 0.05817817197670824}",20,14,12.675906279203383,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.99, 'e': 0.05759639025694116}",20,14,10.596417075361703,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.99, 'e': 0.057020426354371746}",25,13,10.467257424628936,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.99, 'e': 0.05645022209082803}",20,3,13.268519808587453,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
287,False,"{'a': 0.99, 'e': 0.05588571986991975}",25,2,39.44407271430741,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.99, 'e': 0.05532686267122055}",20,2,28.238615260478976,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.99, 'e': 0.05477359404450834}",20,9,21.02755769323244,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.99, 'e': 0.05422585810406326}",30,5,38.153221766501424,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.99, 'e': 0.05368359952302263}",25,14,20.98402197545866,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.99, 'e': 0.0531467635277924}",25,16,15.56644795135333,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.99, 'e': 0.05261529589251448}",20,10,15.652099833669329,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.99, 'e': 0.05208914293358933}",20,8,17.68867147727306,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.99, 'e': 0.05156825150425344}",25,14,22.83075267972427,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.99, 'e': 0.0510525689892109}",30,18,15.15730674465007,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.99, 'e': 0.050542043299318794}",20,8,24.97334536259913,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.99, 'e': 0.050036622866325604}",20,14,-33.052821063868,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
299,False,"{'a': 0.99, 'e': 0.04953625663766235}",25,10,15.628972341528081,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,22.327015326276477,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,21.564435602073164,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,15,28.97787517873641,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,33.452136756582334,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,12.605912363253346,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,22,26.510776725819944,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,18,24.181173145209165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,12,31.590056689343953,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,11.770649364010602,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,14.350605476639778,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
